patient_id,vol_dice,vol_iou,rel_vol_diff,patient_sensitivity,fp_volume,lesion_present_gt,lesion_present_pred
BraTS20_Training_009,0.8490271055313501,0.73766038245697,-0.03319060154893115,0.8349372453493834,24145,1,1
BraTS20_Training_010,0.6503954963300791,0.481915623844976,-0.11139024718496254,0.6141716387779822,12235,1,1
BraTS20_Training_023,0.7130770414085335,0.5540945840215596,-0.2611856823266219,0.6199542846026651,4888,1,1
BraTS20_Training_028,0.7228270218465093,0.5659585930885862,-0.05622163840458562,0.7025077621208502,5051,1,1
BraTS20_Training_034,0.8830467125478232,0.7905851770776328,0.0008845402028982342,0.883437257706966,10755,1,1
BraTS20_Training_035,0.6652466597564726,0.49840419177006706,0.2278246526676394,0.7410264543551355,38367,1,1
BraTS20_Training_037,0.8993638409116661,0.8171309233167633,-0.03893953261979462,0.8818534371015444,14971,1,1
BraTS20_Training_054,0.7262402714287565,0.5701548377914011,-0.08322784024623328,0.6960185667833296,17787,1,1
BraTS20_Training_056,0.6621305365346277,0.4949141561386459,0.08384509789755075,0.6898887363629795,21811,1,1
BraTS20_Training_061,0.7180872150644202,0.5601685414975454,-0.06667944050584403,0.6941463881969726,4993,1,1
BraTS20_Training_085,0.8680541302354857,0.7668689408408481,0.017696916153612546,0.8757350708152729,5142,1,1
BraTS20_Training_088,0.8073941562313656,0.677,-0.030534351145038167,0.7950675278919553,5346,1,1
BraTS20_Training_101,0.8394776331264955,0.7233618731434562,0.06188067065267383,0.8654513525943889,14094,1,1
BraTS20_Training_103,0.8102314295357727,0.6809991872786101,-0.11670217152281473,0.7629535459043431,7005,1,1
BraTS20_Training_105,0.7933226065969429,0.6574438295886392,-0.01056338028169014,0.7891325224071702,5006,1,1
BraTS20_Training_127,0.9121744957138566,0.8385301614273577,-0.013266617701065003,0.9061237605582079,3512,1,1
BraTS20_Training_136,0.6955720944218915,0.5332392012217964,-0.25790292215764915,0.6058770565605304,8321,1,1
BraTS20_Training_158,0.549785199556541,0.3791060464894049,-0.4932922691444381,0.4141828052409041,3545,1,1
BraTS20_Training_160,0.7896696180301478,0.6524413745153904,-0.2892373173097988,0.6754686570901011,4511,1,1
BraTS20_Training_161,0.8465482841181166,0.7339260694331529,-0.1363526502686523,0.788833733058174,4024,1,1
BraTS20_Training_171,0.824443525470542,0.7013219214334585,-0.2007522492388767,0.7416890794162219,8432,1,1
BraTS20_Training_179,0.8160542748271588,0.689266625552472,-0.03181042483757971,0.8030747582407712,11030,1,1
BraTS20_Training_181,0.749572214067883,0.599452621335604,-0.03204322318007663,0.7375628591954023,15394,1,1
BraTS20_Training_185,0.8057081826721398,0.6746325906132827,-0.24672585139144265,0.7063136640007219,4163,1,1
BraTS20_Training_187,0.8295015149975796,0.7086737194673638,-0.1724879860200961,0.7579619921363041,6368,1,1
BraTS20_Training_188,0.46387500163166207,0.30197737952600673,0.2630568356374808,0.5248877466619402,49977,1,1
BraTS20_Training_197,0.8928442992781643,0.8064306571298454,0.04978379651794603,0.9150688887369005,17727,1,1
BraTS20_Training_201,0.9019752163860648,0.821452511679553,0.03055869299836853,0.9157568082509041,20125,1,1
BraTS20_Training_205,0.7905882352941176,0.6536964980544747,0.21318589475714422,0.8748593654569418,10525,1,1
BraTS20_Training_207,0.7580908641145556,0.6104237759504517,-0.1906056818565686,0.6858426510826605,7315,1,1
BraTS20_Training_209,0.7858169412789432,0.6471980774519064,0.14104775669417377,0.8412357996487793,19292,1,1
BraTS20_Training_218,0.8771916693175652,0.7812479168055463,-0.07959609026879402,0.8422811556705476,8696,1,1
BraTS20_Training_235,0.8841664084780206,0.7923819601738568,0.04319089227947224,0.9032603765308717,28073,1,1
BraTS20_Training_236,0.7223192392799473,0.5653362416390112,-0.03187419814263351,0.7108075660024247,43723,1,1
BraTS20_Training_259,0.9120697226632436,0.838353101906477,-0.015119768007107296,0.9051745813567561,9510,1,1
BraTS20_Training_270,0.7720053983408937,0.628671654824753,0.2122186278474188,0.8539223615042458,53164,1,1
BraTS20_Training_274,0.8358688014527494,0.7180194143889038,-0.1822592259699029,0.7596964010701652,11043,1,1
BraTS20_Training_281,0.7902214161565783,0.6531950777687551,-0.15009750676256578,0.7309162839788351,17023,1,1
BraTS20_Training_293,0.7123627601314348,0.5532324928752052,-0.08563281053426151,0.6818619474964355,69304,1,1
BraTS20_Training_296,0.8886001620934655,0.7995323841033295,-0.0438542919712532,0.8691156966163907,14108,1,1
BraTS20_Training_300,0.7900991246884239,0.653027980068992,0.16882314115391467,0.856792632714853,29783,1,1
BraTS20_Training_305,0.8312527077550104,0.7112339111034838,-0.012422162157852353,0.826089729790067,20254,1,1
BraTS20_Training_309,0.808812845451956,0.6789972863322496,-0.013333333333333334,0.8034207598156096,28820,1,1
BraTS20_Training_310,0.9028014211740701,0.8228240890907125,-0.07725512781766239,0.8679284015806851,9613,1,1
BraTS20_Training_316,0.7652242366104364,0.6197272891960814,0.00444490431168652,0.7669249108647948,55093,1,1
BraTS20_Training_317,0.8870623605857821,0.7970458803537972,-0.00993968636911942,0.8826537997587455,2226,1,1
BraTS20_Training_318,0.8744444977199486,0.7769003802554169,-0.13247339598276983,0.8165241816142441,10822,1,1
BraTS20_Training_326,0.7830161377010322,0.6434071658286905,-0.26339218048231794,0.6798959737700733,7109,1,1
BraTS20_Training_337,0.9090479747889779,0.8332611826932915,0.08020220243464592,0.9455017996373931,15082,1,1
BraTS20_Training_340,0.9098789837843614,0.8346586940805999,-0.0739387702598405,0.8762413172112169,3873,1,1
BraTS20_Training_343,0.8784023531233067,0.783170645524613,0.051937738246505716,0.9012134688691232,23724,1,1
BraTS20_Training_344,0.8653154567591106,0.7626044277360067,0.13389719082656956,0.923247111178538,16662,1,1
BraTS20_Training_360,0.8303857868020305,0.7099655402883506,-0.00024362514211466623,0.8302846353743706,16695,1,1
BraTS20_Training_365,0.7960360433439463,0.6611792977215816,0.0009738876377137988,0.7964236681748399,30245,1,1
BraTS20_Training_369,0.8187869604705573,0.6931746713503397,-0.03622704953031597,0.8039558425846854,35932,1,1
